correcteds,correctors,created_at,PASS,Highest C Piscine,Final exam score,Number of group assignments,level,penalty
130,140,3,1,8,60,3,7.39,0
200,114,3,1,8,60,4,6.88,0
69,65,3,1,9,60,4,7.38,0
4,6,9,0,0,,0,1.62,0
30,56,9,0,11,60,2,9.67,0
178,186,3,1,13,60,2,10.18,0
76,61,9,0,8,72,2,7.09,0
34,63,9,0,9,0,3,6.03,0
29,44,9,0,7,60,2,7.86,0
73,52,9,0,9,6,4,6.13,0
2,5,9,0,0,,1,0,0
94,104,3,1,6,60,3,5.58,0
40,65,3,1,8,60,2,7.22,0
19,4,9,0,0,12,2,0.63,0
42,62,3,1,8,60,3,6.52,0
87,114,3,1,8,60,3,6.56,0
0,0,9,0,0,,0,0,0
39,56,9,0,11,60,4,9.98,0
88,103,3,1,8,60,4,7.68,0
90,114,3,1,9,60,4,6.71,0
31,53,9,0,10,72,2,8.96,0
39,51,3,1,7,60,2,6.7,0
26,45,9,0,6,,0,4.99,0
41,24,9,0,4,,2,4.72,0
69,89,3,1,8,60,4,6.06,0
59,39,9,0,3,0,2,2.55,0
40,44,9,0,8,60,2,7.54,0
66,57,9,0,11,72,4,12.37,0
3,15,9,0,2,66,2,6.07,0
57,68,9,0,9,72,3,11,0
94,57,9,0,11,42,3,11.03,0
82,89,9,0,11,60,4,10.71,0
1,1,9,0,0,,1,0.98,0
34,57,9,0,9,72,4,11.69,0
14,13,9,0,2,,1,1.09,0
175,158,3,1,6,60,4,7.84,0
58,38,9,0,4,18,2,4.05,0
40,48,9,0,8,66,3,7.33,0
62,69,9,0,7,60,4,9.58,0
69,62,9,0,9,54,3,9.16,0
183,128,3,1,8,60,3,6.69,0
26,32,3,1,6,60,3,6.32,0
60,66,9,0,10,100,4,11.88,0
51,57,3,1,9,60,4,10.04,0
59,46,9,0,6,66,4,8.97,0
7,15,9,0,3,0,1,2.32,0
85,86,3,1,8,60,3,7.2,0
4,7,9,0,0,,0,0.98,0
27,36,9,0,4,,1,5.36,0
38,45,9,0,7,12,3,5.62,0
0,6,9,0,0,,0,0.55,0
28,44,9,0,10,18,4,9.95,0
49,49,9,0,9,48,4,9.29,0
3,10,9,0,1,,1,1.65,0
111,133,3,1,7,60,4,7.97,0
20,32,9,0,8,54,2,6.58,0
11,19,9,0,4,30,1,5.07,0
70,81,3,1,8,60,2,9.72,0
64,57,9,0,9,48,1,9.92,0
15,35,9,0,4,0,4,3.08,0
33,36,8,0,4,6,4,4.55,0
138,117,3,1,7,60,4,5.62,0
134,136,2,1,11,60,4,9.16,0
91,77,2,1,11,60,3,8.09,0
48,59,8,0,9,48,3,7.34,0
0,0,8,0,0,,0,0,0
79,101,2,1,4,60,3,4.77,0
0,0,8,0,0,,0,0,0
65,62,8,0,11,12,3,8.55,0
7,10,8,0,1,0,1,1.29,0
23,18,8,0,3,12,1,2.53,0
0,0,8,0,0,,0,0,0
56,58,2,1,9,60,3,7.75,0
19,20,8,0,6,48,2,6.53,0
104,105,2,1,10,60,4,7.78,0
4,5,8,0,0,,0,1.09,0
103,127,2,1,10,60,3,7,0
0,0,8,0,0,,0,0,0
0,0,8,0,0,,0,0,0
120,117,2,1,9,60,3,8.53,0
12,17,8,0,3,0,2,3.65,0
14,16,8,0,3,60,3,4.89,0
65,70,2,1,11,60,4,7.54,0
6,10,8,0,1,54,3,4.64,0
5,1,8,0,0,,0,0,0
0,1,8,0,0,,0,0,0
41,41,2,1,4,60,3,4.6,0
40,47,8,0,7,66,0,8.08,0
52,101,2,1,8,60,3,9.01,0
6,8,8,0,0,,0,0.55,0
1,0,8,0,0,,0,0,0
24,35,8,0,8,60,1,6.85,0
72,90,2,1,11,60,3,8.18,0
9,16,8,0,1,,3,3.34,0
42,52,8,0,10,66,3,8.8,0
47,56,8,0,8,66,4,8.01,0
1,3,8,0,0,,1,0.74,0
105,118,2,1,9,60,3,9.25,0
39,41,8,0,6,72,4,7.17,0
0,1,8,0,0,0,1,0.98,0
12,7,8,0,0,,1,1.31,0
23,35,8,0,8,72,3,7.41,0
0,1,8,0,0,,1,0,0
2,0,8,0,0,,0,0,0
3,4,8,0,0,0,1,0.55,0
0,0,8,0,0,,0,0,0
0,0,8,0,0,,0,0,0
67,73,2,1,11,60,2,9.84,0
4,8,8,0,0,0,1,0.38,0
0,0,8,0,0,0,0,0,0
23,26,8,0,7,,3,6.89,0
45,44,8,0,6,48,3,7.1,0
38,37,8,0,5,42,4,6.46,0
99,123,2,1,9,60,3,6.93,0
63,66,2,1,6,60,1,5.99,0
56,69,2,1,10,60,2,8.4,0
32,47,8,0,9,54,0,6.94,0
13,14,8,0,1,0,1,1.64,0
69,88,2,1,11,60,4,10.34,0
67,67,2,1,8,60,2,7.05,0
84,86,10,1,11,66,3,12.24,0
2,2,8,0,0,,2,0.82,0
65,79,10,1,11,66,3,11.5,0
26,38,8,0,7,18,3,6.28,0
35,47,8,0,6,48,2,5.78,0
0,0,8,0,0,,0,0,0
73,67,10,1,11,66,3,11.62,0
58,72,10,1,11,66,3,10.76,0
51,53,8,0,8,0,4,5.87,0
20,30,8,0,7,66,1,9.52,0
57,63,8,0,11,18,2,9.64,0
0,5,8,0,0,0,1,0.55,0
75,77,10,1,9,66,3,8.34,0
81,97,10,1,10,66,3,9.16,0
0,0,8,0,0,,0,0,0
1,3,8,0,0,,0,0,0
67,47,8,0,10,42,4,9.82,0
33,36,8,0,9,48,2,6.1,0
26,23,8,0,1,18,1,2.29,0
22,30,8,0,7,0,3,4.13,0
77,91,10,1,11,66,3,11.1,0
43,52,8,0,7,30,2,6.22,0
4,11,8,0,2,12,1,2.62,0
67,64,8,0,8,54,4,6.29,0
39,40,8,0,7,66,2,7.75,0
0,2,8,0,0,,0,0.2,0
21,30,8,0,7,36,1,5.79,0
7,11,8,0,1,,0,1.67,0
2,2,8,0,0,,0,0.38,0
5,14,8,0,3,0,1,3.54,0
67,61,10,1,11,66,3,11.14,0
103,118,10,1,9,66,3,10.71,0
75,72,10,1,11,66,3,13.26,0
74,78,10,1,11,66,4,12.73,0
49,66,8,0,10,0,4,10.29,0
79,79,8,0,9,66,2,8.93,0
0,2,8,0,0,,0,0,0
21,27,8,0,7,60,3,8.29,0
0,0,8,0,0,,0,0,0
127,107,9,1,11,66,4,12.93,0
52,54,8,0,11,84,2,13.03,0
46,61,8,0,11,72,3,12.86,0
75,123,9,1,10,66,3,11.89,0
9,12,8,0,0,18,2,3.87,0
9,15,8,0,3,6,1,2.62,0
118,104,8,1,11,66,4,9.89,0
120,102,8,1,11,66,4,10.94,0
0,0,8,0,0,,0,0,0
65,62,8,1,11,66,4,10.93,0
6,13,8,0,3,,0,1.85,0
63,75,8,1,11,66,4,10.69,0
103,97,8,1,8,66,2,9.67,0
44,63,8,0,11,84,4,12.48,0
23,33,8,0,5,66,2,8.48,0
50,70,8,1,11,66,3,11.12,0
14,21,8,0,3,,1,2.18,0
96,86,8,1,8,66,3,11.57,0
70,74,8,1,11,66,4,11.38,0
40,46,8,0,6,42,3,6.46,0
67,93,8,0,11,72,4,10.27,0
31,46,8,0,8,54,2,7.51,0
130,74,8,1,11,66,1,8.97,0
161,145,8,1,11,66,3,10.22,0
21,34,8,0,8,0,1,5.44,0
114,129,8,1,11,66,4,10.92,0
44,33,8,0,7,66,2,9.39,0
200,134,8,1,11,66,3,11.99,0
133,135,8,1,11,66,3,12.14,0
85,101,8,1,9,66,4,11.35,0
3,2,8,0,0,,0,0,0
30,33,8,0,4,54,3,4.89,0
63,74,8,1,9,66,3,11.94,0
13,5,8,0,0,0,1,1.69,0
94,120,8,1,11,66,4,14.36,0
200,116,8,1,9,66,4,11.32,0
33,36,8,0,8,66,3,6.77,0
69,86,8,0,11,84,3,11.69,0
45,56,8,1,11,66,4,13.38,0
11,11,8,0,1,,1,2.47,0
84,104,8,1,11,66,4,11.03,1
20,26,8,0,4,72,3,7.49,0
67,71,8,1,11,66,3,13.94,0
87,112,8,1,11,66,2,12.63,0
91,130,8,1,11,66,4,11.96,0
38,38,8,0,9,66,3,7.6,0
73,66,8,0,8,24,3,8.37,0
167,149,8,1,11,66,4,12.14,0
113,139,8,1,10,66,4,11.11,0
126,106,8,1,11,66,4,11.47,0
105,121,8,1,11,66,3,10.87,0
37,42,8,0,9,66,2,7.83,0
34,28,8,0,4,0,3,3.34,0
5,7,8,0,0,,1,0.3,0
23,32,8,0,7,66,3,7.1,0
41,42,8,0,7,48,2,4.62,0
110,105,8,1,11,66,4,12.3,0
37,45,8,0,8,60,3,6.3,0
94,81,7,1,11,66,1,10.41,0
99,107,7,1,9,66,4,9.01,0
57,72,8,0,11,84,4,13.02,0
55,68,7,1,11,66,4,11.43,0
14,20,8,0,3,,1,2.02,0
142,141,7,1,11,66,4,10.45,0
73,99,7,1,9,66,3,9.95,0
88,72,8,0,11,72,4,11.72,0
77,94,7,1,9,66,3,9.5,0
20,20,8,0,6,66,2,6.92,0
163,140,7,1,11,66,4,10.8,0
18,17,8,0,2,0,2,1.93,0
113,111,7,1,11,66,3,11,0
32,41,8,0,7,0,1,5.1,0
100,143,7,1,9,66,4,9.69,0
88,107,7,1,7,66,4,10.09,0
61,36,8,0,8,54,3,7.84,0
65,67,8,0,11,84,4,11.93,0
68,78,7,1,9,66,3,10.05,0
64,74,7,1,11,66,3,12.15,0
97,127,7,1,9,66,4,9.67,0
1,6,8,0,0,,0,0.55,0
3,4,8,0,0,,0,0.55,0
0,0,8,0,0,,0,0,0
12,11,8,0,1,24,2,1.78,0
97,114,7,1,11,66,2,11.75,0
62,56,8,0,11,66,2,11.53,0
84,94,7,1,11,66,4,10.45,0
57,52,8,0,8,48,2,7.67,0
39,37,8,0,6,30,2,5.44,0
81,97,7,1,9,66,4,11.24,0
93,49,8,0,8,48,3,8.91,0
21,15,8,0,2,0,1,1.46,0
112,124,7,1,11,66,3,12.96,0
118,116,7,1,11,66,3,11.92,0
96,125,7,1,11,66,4,10.27,0
137,182,7,1,11,66,4,9.34,0
0,2,8,0,0,,0,0,0
61,65,8,0,11,84,4,12.38,0
33,41,7,1,8,66,3,10.4,0
5,8,8,0,0,,1,0.46,0
13,24,8,0,3,12,3,4.82,0
61,69,7,1,11,66,3,9.86,0
40,59,8,0,8,30,2,6.67,0
61,46,8,0,6,0,4,5.46,0
112,126,7,1,11,66,4,13.79,0
19,16,8,0,4,60,1,6.97,0
34,32,8,0,6,24,3,4.01,0
8,11,8,0,1,0,0,1.12,0
68,55,7,1,9,66,3,11.87,0
7,11,8,0,3,,1,3.65,0
140,142,7,1,11,66,1,10.18,0
27,25,8,0,4,0,2,2.41,0
135,151,7,1,8,66,4,9.43,0
0,0,8,0,0,,0,0,0
0,0,8,0,0,,0,0,0
48,63,7,1,9,66,4,11.61,1
116,134,7,1,10,66,2,9.79,0
119,140,7,1,9,66,4,10.85,0
0,0,8,0,0,,0,0,0
66,64,6,1,11,66,3,11.52,0
39,31,8,0,8,48,2,6.79,0
90,87,6,1,11,66,3,10.1,0
3,2,8,0,0,,0,0.33,0
25,26,8,0,4,30,2,3.4,0
9,19,8,0,2,60,2,4.93,0
31,43,8,0,11,90,3,12.22,0
0,0,8,0,0,,0,0,0
108,118,6,1,11,66,4,11.2,0
55,67,6,1,11,66,4,13.16,0
0,3,8,0,0,,0,0,0
5,0,8,0,0,,0,0,0
133,151,6,1,11,66,4,12.29,0
1,2,8,0,0,,0,0,0
53,31,8,0,4,18,3,4.85,0
43,36,8,0,8,18,2,4.51,0
24,33,8,0,4,42,2,5.62,0
162,140,6,1,11,66,4,11.67,0
46,54,8,0,8,0,1,6.52,0
143,138,6,1,11,66,4,11.15,0
136,148,6,1,11,66,3,11.02,0
25,23,8,0,3,0,1,2.51,0
132,143,6,1,11,66,4,12.68,0
4,12,8,0,3,,1,2.91,0
12,12,8,0,2,,2,2.38,0
80,95,6,1,8,66,3,6.77,0
64,69,8,0,8,66,2,5.1,0
0,0,8,0,0,,0,0,0
44,39,8,0,6,30,4,5.07,0
10,10,8,0,1,0,1,0.93,0
27,41,8,0,9,60,2,8.08,0
73,97,6,1,6,66,4,11.06,0
39,33,6,1,8,66,2,8.15,0
58,65,6,1,9,66,3,8.71,0
21,22,6,1,6,66,2,6.11,0
43,52,8,0,8,30,2,6.06,0
33,33,8,0,4,36,2,5.46,0
41,26,6,1,4,66,1,6.51,0
73,65,6,1,9,66,3,7.82,0
62,66,8,0,11,90,4,13.23,0
57,62,8,0,9,48,4,8.27,0
22,33,8,0,6,42,3,6.6,0
0,0,8,0,0,,0,0,0
80,40,8,0,7,18,3,5.6,0
33,40,6,1,9,66,3,8.13,0
41,27,8,0,4,6,1,4.09,0
9,11,8,0,1,6,2,3.37,0
60,64,6,1,9,66,4,9.96,0
27,33,6,1,6,66,4,6.48,0
24,30,8,0,3,36,3,4.76,0
50,38,8,0,7,66,1,6.89,0
121,146,6,1,9,66,4,9.16,0
47,23,8,0,4,18,1,3.07,0
47,33,8,0,8,42,2,6.17,0
125,113,6,1,8,66,3,7.82,0
4,8,8,0,0,0,1,2.6,0
172,109,6,1,7,66,3,7.75,0
39,29,8,0,4,24,2,3.08,0
58,65,6,1,8,66,4,9.36,0
54,64,8,0,11,72,3,12.53,0
45,38,6,1,9,66,3,7.8,0
41,53,6,1,9,66,4,9.32,0
33,44,8,0,6,54,4,4.9,0
34,34,6,1,8,66,3,8.99,0
3,6,8,0,0,0,1,0.55,0
52,48,6,1,11,66,3,10.15,0
101,110,6,1,11,66,3,11.09,0
178,157,6,1,9,66,2,7.73,0
0,0,8,0,0,,0,0,0
39,50,8,0,9,48,1,8.16,0
38,47,8,0,11,72,2,11.53,0
3,6,8,0,0,,1,0.74,0
10,8,8,0,1,0,0,1.09,0
45,47,8,0,9,66,3,8.98,0
14,21,8,0,4,54,3,5.83,0
30,29,8,0,5,0,0,3.16,0
32,48,6,1,8,66,4,9.25,0
55,67,8,0,11,60,2,10.31,0
1,1,8,0,0,,1,0.95,0
91,79,6,1,10,66,4,9.9,0
0,0,8,0,0,,0,0,0
75,85,8,0,8,0,4,5.42,1
105,134,6,1,9,66,4,9.35,0
0,3,8,0,0,,1,0.95,0
52,67,6,1,9,66,3,10.53,0
33,41,8,0,11,48,2,10.88,0
0,0,8,0,0,,0,0,0
0,0,8,0,0,,0,0,0
23,22,8,0,3,,2,4.76,0
79,75,8,0,11,90,4,14.32,0
14,29,8,0,6,30,2,6.04,0
81,103,6,1,11,66,4,10.48,0
0,0,8,0,0,,0,0,0
0,0,8,0,0,,0,0,0
80,74,6,1,11,66,4,10.18,0
152,152,6,1,9,66,4,9.66,0
110,105,6,1,11,66,4,10.89,0
69,102,6,1,10,66,4,9.48,0
72,89,6,1,11,66,4,10.9,0
140,148,6,1,9,66,4,10.25,0
2,1,8,0,0,,0,0,0
4,6,8,0,0,,0,0.38,0
95,97,6,1,11,66,4,9.34,0
30,35,8,0,8,66,3,7.68,0
141,142,6,1,9,66,4,9.73,0
68,63,8,0,11,78,2,13.01,0
0,0,8,0,0,,0,0,0
57,55,8,0,11,48,3,10.05,0
7,5,8,0,0,0,1,1.44,0
37,41,8,0,8,0,1,6.82,0
0,0,8,0,0,,0,0,0
15,19,8,0,3,,2,4.04,0
0,0,8,0,0,,0,0,0
54,69,6,1,8,66,4,7.59,0
165,135,6,1,9,66,4,9.76,0
52,61,8,0,11,72,2,11.38,0
78,53,8,0,11,90,4,14.76,0
49,62,5,1,6,66,4,8.16,0
59,58,8,0,11,72,4,12.19,0
96,111,5,1,7,66,2,8.94,0
94,119,5,1,6,66,4,8.07,0
46,48,5,1,9,66,3,7.31,0
4,9,8,0,1,0,0,0.46,0
111,132,5,1,9,66,2,8.91,0
75,77,5,1,10,66,2,9.2,0
0,0,8,0,0,,0,0,0
27,33,8,0,7,60,3,8.76,0
3,4,8,0,0,,0,0.55,0
50,54,5,1,8,66,3,8.11,0
147,149,5,1,10,66,2,8.57,0
57,66,8,0,9,0,2,9.09,0
46,63,5,1,9,66,3,9.97,0
201,156,5,1,11,66,2,10.22,0
53,54,5,1,9,66,4,8.01,0
35,25,8,0,4,54,2,5.89,0
2,10,8,0,0,0,2,0.46,0
31,38,8,0,8,60,2,8.65,0
42,37,5,1,8,66,3,7.75,0
0,1,8,0,0,,1,0.78,0
0,0,8,0,0,0,0,0,0
48,39,8,0,8,66,1,8.65,0
54,49,8,0,10,18,1,8.04,0
13,15,8,0,3,,2,1.95,0
34,39,8,0,6,48,0,4.14,0
43,53,8,0,10,72,2,10.08,0
14,13,8,0,1,,1,1.06,0
55,44,5,1,10,66,3,10.81,0
44,40,8,0,9,66,2,8.54,0
87,83,5,1,11,66,4,10.33,0
39,57,8,0,9,66,3,8.09,0
126,127,5,1,9,66,4,8.04,0
97,117,5,1,8,66,4,6.82,0
71,56,5,1,11,66,4,10.1,0
30,26,8,0,6,60,2,5.44,0
59,66,5,1,8,66,2,7.52,0
41,49,8,0,11,72,4,10.73,0
40,49,8,0,7,,1,6.69,0
74,55,5,1,10,66,3,8.82,0
48,55,8,0,11,72,4,11.71,0
151,132,5,1,9,66,4,7.49,0
105,78,8,0,11,84,4,14.28,0
29,27,5,1,8,66,3,7.87,0
52,62,5,1,8,66,3,8.08,0
73,109,5,1,9,66,4,8.97,0
15,14,8,0,3,,3,4.45,0
16,23,8,0,5,0,3,7.75,0
77,60,5,1,9,66,4,7.49,0
1,0,8,0,0,,0,0,0
107,123,5,1,9,66,3,8.59,0
93,121,5,1,10,66,3,8.4,0
11,13,8,0,1,0,1,1.01,0
19,27,8,0,4,66,3,6.94,0
35,39,8,0,7,72,1,7.18,0
0,0,8,0,0,,0,0,0
20,21,8,0,4,,1,3.62,0
75,106,5,1,8,66,3,9.42,0
64,83,5,1,9,66,4,8.6,0
40,41,5,1,8,66,3,8.57,0
2,2,8,0,0,,0,0,0
79,88,5,1,8,66,4,8.4,0
73,73,8,0,11,90,4,13.54,0
2,1,8,0,0,,0,0,0
13,13,8,0,3,0,1,2.05,0
14,21,8,0,8,0,1,8.05,0
55,57,8,0,9,66,4,10,0
89,74,8,0,11,42,4,9.84,0
38,40,5,1,10,66,4,9.9,0
0,0,8,0,0,,0,0,0
32,35,5,1,10,66,2,8.64,0
41,50,8,0,6,24,2,6.11,0
80,107,5,1,10,66,4,8.83,0
54,65,5,1,7,66,4,7.2,0
21,14,8,0,2,0,1,2.81,0
106,127,5,1,9,66,3,8.41,0
109,114,5,1,9,66,3,9.12,0
88,68,8,0,11,84,4,14.08,0
80,92,5,1,8,66,4,7.72,0
76,72,5,1,8,66,3,7.3,0
0,0,8,0,0,0,0,0,0
1,3,8,0,0,12,1,0.79,0
46,59,5,1,11,66,4,11.22,0
92,89,5,1,8,66,4,8.21,0
48,58,8,0,11,72,3,12.07,0
0,0,8,0,0,,0,0,0
64,59,8,0,11,72,3,9.21,0
0,0,8,0,0,0,0,0,0
37,52,8,0,8,60,4,6.92,0
30,24,8,0,3,30,4,4.4,0
52,54,8,0,9,54,3,8.78,0
87,121,5,1,10,66,4,8.78,0
4,3,8,0,0,0,1,1.49,0
10,1,8,0,0,,1,0.59,0
43,52,8,0,9,72,1,8.84,0
71,67,5,1,11,66,3,10.31,0
31,40,8,0,6,60,2,7.12,0
39,39,8,0,7,66,2,8.9,0
44,59,8,0,11,0,4,11.73,0
1,0,8,0,0,,0,0,0
32,32,8,0,7,12,3,5.01,0
71,64,8,0,6,48,4,7.42,0
65,44,8,0,11,66,4,11.3,0
33,36,5,1,9,66,4,6.81,0
18,18,8,0,2,,0,1.64,0
6,5,8,0,0,,1,0.38,0
61,96,5,1,10,66,2,9.16,0
27,25,8,0,6,0,3,5.05,0
55,56,5,1,10,66,4,10.14,0
6,7,8,0,0,,1,2.08,0
81,54,8,0,8,,4,6.44,0
61,71,8,0,11,84,4,12.21,0
14,11,8,0,1,,1,2.66,0
22,30,8,0,6,42,2,6.36,0
79,81,8,0,9,60,4,9.67,0
45,50,8,0,7,48,4,6.4,0
47,52,8,0,6,60,4,7.55,0
0,0,8,0,0,,0,0,0
70,52,8,0,11,72,3,10.22,0
23,17,8,0,2,6,2,4.29,0
52,55,5,1,9,66,3,8,0
3,7,8,0,0,,0,0.55,0
63,67,5,1,7,66,3,8.3,0
59,52,8,0,9,6,4,8.5,0
44,39,5,1,9,66,3,8.78,0
59,58,5,1,10,66,4,10.14,0
70,69,5,1,9,66,3,8.55,0
45,53,8,0,8,0,2,5.83,0
33,44,8,0,8,24,3,6.8,0
27,32,8,0,6,0,2,5.88,0
7,12,8,0,1,0,2,2.64,0
23,25,8,0,3,0,2,3.03,0
3,0,8,0,0,,0,0,0
65,65,5,1,11,66,3,7.78,0
21,28,8,0,6,,2,7.94,0
37,42,8,0,4,,3,4.48,0
47,56,5,1,9,66,3,8.71,0
57,64,8,0,9,0,3,6.29,0
40,50,8,0,11,42,3,9.75,0
22,28,8,0,7,48,2,5.6,0
107,110,5,1,9,66,4,8.96,0
29,29,8,0,3,,1,2.83,0
47,52,8,0,8,0,4,9.02,0
2,1,8,0,0,,0,0,0
14,19,8,0,2,,1,2.02,0
52,49,8,0,6,66,3,8.63,0
41,49,8,0,8,66,3,8.72,0
8,14,8,0,2,,1,2.29,0
200,163,5,1,11,66,3,12,0
115,163,5,1,9,66,3,7.53,0
15,22,8,0,4,0,3,3.71,0
17,29,8,0,3,66,3,7.07,0
53,58,5,1,8,66,3,7.03,0
119,92,5,1,11,66,4,9.46,0
64,75,8,0,11,66,4,10.28,0
25,16,8,0,3,,1,2.95,0
109,125,5,1,11,66,4,10.6,0
40,47,8,0,7,60,2,5.59,0
35,44,8,0,6,54,4,8.4,0
1,0,8,0,0,,0,0,0
140,132,5,1,8,66,2,8.57,0
20,12,8,0,2,0,3,1.97,0
55,60,8,0,10,72,2,9.91,0
41,46,8,0,11,60,3,9.3,0
49,40,5,1,11,66,4,11.22,0
73,96,5,1,9,66,1,8.58,0
59,56,5,1,9,66,2,8.05,0
85,103,5,1,9,66,3,8.48,0
97,128,5,1,8,66,3,10.23,0
125,145,5,1,9,66,1,8.64,0
69,76,5,1,11,66,4,10.82,0
3,6,8,0,1,0,0,1.09,0
98,125,5,1,9,66,2,8.05,0
118,144,5,1,11,66,4,9.24,0
105,123,5,1,11,66,4,10.92,0
42,35,8,0,4,18,4,4.91,0
36,58,8,0,11,90,2,12.09,0
31,34,8,0,7,54,3,7.02,0
9,16,8,0,3,24,3,5.09,0
0,0,8,0,0,,0,0,0
107,74,8,0,11,66,4,10.52,0
48,59,5,1,11,66,4,11.31,0
77,96,5,1,9,66,4,9.07,0
51,113,4,1,11,66,3,11.7,0
65,78,4,1,11,66,4,13.2,0
3,8,8,0,0,0,2,1.56,0
47,45,8,0,4,48,3,7.01,0
73,78,8,0,11,90,2,10.94,0
67,75,8,0,11,60,2,9.38,0
27,40,4,1,8,66,3,9.6,0
35,36,8,0,6,18,3,5.66,0
38,41,8,0,8,42,4,8.17,0
167,145,4,1,9,66,1,9.51,0
118,139,4,1,11,66,4,12.24,0
50,30,8,0,6,66,3,6.11,0
4,9,8,0,1,,1,0.96,0
67,56,8,0,9,6,4,7.38,0
182,92,4,1,11,66,4,10.87,0
61,65,8,0,9,72,1,10.03,0
29,32,8,0,8,48,2,7.66,0
170,149,4,1,11,66,4,11.98,0
73,68,4,1,10,66,3,10.18,0
45,50,8,0,9,72,2,9.97,0
129,143,4,1,11,66,4,9.86,0
57,60,8,0,11,66,4,10.05,0
61,72,4,1,11,66,3,9.81,0
61,68,8,0,10,66,3,9.72,0
118,136,4,1,9,66,4,8.43,0
0,2,8,0,0,,0,0,0
16,10,8,0,2,,1,1.61,0
86,103,4,1,9,66,3,9.22,0
49,66,8,0,10,30,3,9.29,0
60,60,4,1,9,66,3,10.08,0
75,90,4,1,11,66,4,10.34,0
62,68,8,0,9,60,3,9.97,0
151,139,4,1,9,66,4,9.32,0
29,33,8,0,8,24,3,6.49,0
82,96,4,1,11,66,3,11.03,0
124,103,4,1,11,66,3,13.47,0
63,64,8,0,11,66,3,9.87,0
0,0,8,0,0,,0,0,0
33,46,8,0,11,66,4,8.96,0
133,135,4,1,11,66,2,11.43,0
115,143,4,1,11,66,4,11.87,0
51,43,8,0,7,60,4,8.04,0
200,174,4,1,11,66,3,9.14,0
62,46,8,0,9,78,4,10.3,0
70,50,4,1,9,66,3,9.26,0
107,119,4,1,11,66,3,10.41,0
68,59,4,1,9,66,1,9.17,0
115,104,4,1,9,66,3,9.7,0
27,40,8,0,7,18,4,5.62,0
56,62,8,0,11,0,3,8.3,0
79,79,8,0,11,72,4,10.8,0
66,75,8,0,11,84,4,13.33,0
7,13,8,0,3,18,2,2.3,0
103,103,4,1,11,66,4,11.22,0
103,93,4,1,11,66,3,12.69,0
50,61,8,0,9,72,4,10.2,0
69,72,4,1,11,66,4,10.81,0
50,59,8,0,11,60,4,9.56,0
29,41,8,0,8,0,1,6.07,0
24,25,8,0,2,0,1,1.99,0
118,147,4,1,9,66,3,8.4,0
129,131,4,1,8,66,3,10.1,0
27,31,7,0,6,0,2,1.85,0
2,2,7,0,0,,0,0,0
2,2,7,0,0,,0,0,0
0,7,7,0,1,30,1,1.67,0
37,54,7,0,11,72,4,11.19,0
106,101,4,1,8,66,3,10.02,0
2,0,7,0,0,0,0,0,0
8,8,7,0,1,0,1,1.2,0
0,0,7,0,0,,0,0,0
52,32,7,0,9,72,2,10.28,0
6,11,7,0,1,0,3,1.89,0
2,9,7,0,0,18,3,3.23,0
34,20,7,0,3,,2,2.98,0
33,29,7,0,10,12,3,7.08,0
9,7,7,0,1,,1,3.26,0
5,0,7,0,0,0,0,0.39,0
40,61,7,0,6,66,4,8.12,0
121,136,4,1,11,66,4,11.35,0
32,50,7,0,8,60,3,7.47,0
5,10,7,0,2,,0,3.01,0
36,42,4,1,11,66,2,9.7,0
42,48,7,0,8,54,4,6.38,0
18,35,7,0,6,60,0,7.09,0
12,22,7,0,4,54,2,6.34,0
72,72,7,0,9,60,4,7.9,0
0,0,7,0,0,,0,0,0
65,71,4,1,11,66,2,9.66,0
59,11,7,0,2,6,2,1.59,0
51,45,7,0,11,0,4,9.58,0
157,127,4,1,10,66,4,9.12,0
69,84,4,1,9,66,2,9.35,0
42,43,4,1,11,66,4,9.94,0
0,0,7,0,0,0,0,0.37,0
0,0,7,0,0,,0,0,0
0,0,7,0,0,,0,0,0
53,34,7,0,6,60,4,5.68,0
77,72,4,1,10,66,3,9.6,0
16,19,7,0,3,0,1,1.37,0
5,7,7,0,0,,1,0.55,0
40,49,7,0,8,42,4,7.54,0
78,73,4,1,8,66,4,10.05,0
76,85,4,1,11,66,4,9.57,0
0,0,7,0,0,,0,0,0
147,167,4,1,11,66,4,9.71,0
0,0,7,0,0,,0,0,0
5,13,7,0,2,0,1,1.73,0
33,42,7,0,6,66,1,7.91,0
0,0,7,0,0,,0,0,0
0,0,7,0,0,0,0,0,0
107,58,4,1,11,66,2,9.26,0
6,5,7,0,0,0,0,0.52,0
52,36,7,0,9,66,1,7.72,0
54,44,7,0,10,0,3,6.66,0
19,26,7,0,7,48,3,6.55,0
8,29,7,0,2,30,1,2.64,0
9,26,7,0,2,0,2,1.8,0
84,88,4,1,11,66,4,11.91,0
64,60,7,0,9,42,4,8.63,0
93,133,3,1,4,66,3,6.08,0
0,0,7,0,0,,0,0,0
36,44,3,1,9,66,3,8.37,0
111,107,3,1,9,66,3,6.69,0
59,62,7,0,11,48,4,10.13,0
39,45,3,1,8,66,4,7.04,0
0,0,7,0,0,,0,0,0
76,112,3,1,6,66,3,6.38,0
65,101,3,1,8,66,4,7.7,0
69,46,7,0,10,72,4,8.37,0
13,20,7,0,3,0,1,2.03,0
43,46,7,0,7,18,2,3.08,0
55,55,7,0,9,48,2,6.46,0
38,45,3,1,8,66,2,5.85,0
